1,White Tin,227,227,230,E3E3E6
2,Tin,215,215,216,D7D7D8
3,Medium Tin,184,184,187,B8B8BB
4,Dark Tin,174,174,177,AEAEB1
5,Light Driftwood,227,204,190,E3CCBE
6,Medium Light Driftwood,220,198,184,DCC6B8
7,Driftwood,143,123,110,8F7B6E
8,Dark Driftwood,106,80,70,6A5046
9,Very Dark Cocoa,85,32,14,552014
10,Very Light Tender Green,237,254,217,EDFED9
11,Light Tender Green,226,237,181,E2EDB5
12,Tender Green,205,217,154,CDD99A
13,Medium Light Nile Green,191,246,224,BFF6E0
14,Pale Apple Green,208,251,178,D0FBB2
15,Apple Green,209,237,164,D1EDA4
16,Light Chartreuse,201,194,88,C9C258
17,Light Yellow Plum,229,226,114,E5E272
18,Yellow Plum,217,213,109,D9D56D
19,Medium Light Autumn Gold,247,201,95,F7C95F
20,Shrimp,247,175,147,F7AF93
21,Light Alizarin,215,153,130,D79982
22,Alizarin,188,96,78,BC604E
23,Apple Blossom,237,226,237,EDE2ED
24,White Lavender,224,215,238,E0D7EE
25,Ultra Light Lavender,218,210,233,DAD2E9
26,Pale Lavender,215,202,230,D7CAE6
27,White Violet,240,238,249,F0EEF9
28,Medium Light Eggplant,144,134,169,9086A9
29,Eggplant,103,64,118,674076
30,Medium Light Blueberry,125,119,165,7D77A5
31,Blueberry,80,81,141,50518D
32,Dark Blueberry,77,46,138,4D2E8A
33,Fuschia,156,89,158,9C599C
34,Dark Fuschia,125,48,100,7D3064
35,Very Dark Fuschia,70,5,45,46052D
150,Dusty Rose Ult Vy Dk,171,2,73,AB0249
151,Dusty Rose Vry Lt,240,206,212,F0CED4
152,Shell Pink Med Light,226,160,153,E2A099
153,Violet Very Light,230,204,217,E6CCD9
154,Grape Very Dark,87,36,51,572433
155,Blue Violet Med Dark,152,145,182,9891B6
156,Blue Violet Med Lt,163,174,209,A3AED1
157,Cornflower Blue Vy Lt,187,195,217,BBC3D9
158,Cornflower Blu M V D,76,82,110,4C526E
159,Blue Gray Light,199,202,215,C7CAD7
160,Blue Gray Medium,153,159,183,999FB7
161,Blue Gray,120,128,164,7880A4
162,Blue Ultra Very Light,219,236,245,DBECF5
163,Celadon Green Md,77,131,97,4D8361
164,Forest Green Lt,200,216,184,C8D8B8
165,Moss Green Vy Lt,239,244,164,EFF4A4
166,Moss Green Md Lt,192,200,64,C0C840
167,Yellow Beige V Dk,167,124,73,A77C49
168,Pewter Very Light,209,209,209,D1D1D1
169,Pewter Light,132,132,132,848484
208,Lavender Very Dark,131,91,139,835B8B
209,Lavender Dark,163,123,167,A37BA7
210,Lavender Medium,195,159,195,D29FC3
211,Lavender Light,227,203,227,E3CBE3
221,Shell Pink Vy Dk,136,62,67,883E43
223,Shell Pink Light,204,132,124,CC847C
224,Shell Pink Very Light,235,183,175,EBB7AF
225,Shell Pink Ult Vy Lt,255,223,213,FFDFD7
300,Mahogany Vy Dk,111,47,0,6F2F00
301,Mahogany Med,179,95,43,B35F2B
304,Red Medium,183,31,51,B71F33
307,Lemon,253,237,84,FDED54
309,Rose Dark,86,74,74,BA4A4A
310,Black,0,0,0,0
311,Wedgewood Ult VyDk,28,80,102,1C5066
312,Baby Blue Very Dark,53,102,139,35668B
315,Antique Mauve Md Dk,129,73,82,814952
316,Antique Mauve Med,183,115,127,B7737F
317,Pewter Gray,108,108,108,6C6C6C
